"game_title";"release_date";"price";"total_reviews";"genre";"developper";"publisher";"link-href";"description"
"Ember Knights";"18 juil. 2023";"25.99";"5531";"Action, Aventure, RPG";"Doom Turtle";"Twin Sails Interactive";"https://store.steampowered.com/app/1135230/Ember_Knights/?snr=1_7_7_230_150_72";"Ember Knights est un jeu d'action rogue-lite pour 1 à 4 joueurs. Vous incarnez des chevaliers légendaires pour combattre le sorcier Praxis et ses armées monstrueuses. Utilisez des armes et des compétences, créez des synergies avec des reliques puissantes et purgez l'univers de la corruption."
"I Was a Teenage Exocolonist";"25 aout 2022";"32.5";"3877";"Indépendant, RPG, Simulation";"Northway Games";"Finji";"https://store.steampowered.com/app/1148760/I_Was_a_Teenage_Exocolonist/?snr=1_7_7_230_150_72";"Passez votre adolescence sur une planète extraterrestre dans ce RPG narratif avec des batailles de cartes. Explorez, grandissez et tombez amoureux. Les choix que vous faites et les compétences que vous maîtrisez pendant dix ans détermineront le cours de votre vie et la survie de votre colonie."
"Myth of Empires";"21 févr. 2024";"38.99";"15057";"Action, Aventure, Indépendant, Massivement multijoueur, RPG";"Angela Game";"Imperium Interactive Entertainment";"https://store.steampowered.com/app/1371580/Myth_of_Empires/?snr=1_7_7_230_150_72";"Myth of Empires est un jeu de guerre bac à sable avec une grande liberté et des civilisations diverses. Survivez, construisez, dirigez des armées et conquérez des territoires en JcE ou JcJ pour bâtir votre empire. Le DLC Myth of Empires : Xiyu Civilization est désormais officiellement disponible"
"Ghostrunner";"27 oct. 2020";"39.99";"45161";"Action";"One More Level";"505 Games";"https://store.steampowered.com/app/1139900/Ghostrunner/?snr=1_7_7_230_150_72";"Ghostrunner offre une expérience unique en solo : des combats violents et rapides, et un cadre original mêlant science-fiction à des thèmes post-apocalyptiques. Il raconte l'histoire d'un monde déjà terminé et de ses habitants qui luttent pour survivre."
"Ghostrunner";"27 oct. 2020";"39.99";"45161";"Action";"3D Realms";"505 Games";"https://store.steampowered.com/app/1139900/Ghostrunner/?snr=1_7_7_230_150_72";"Ghostrunner offre une expérience unique en solo : des combats violents et rapides, et un cadre original mêlant science-fiction à des thèmes post-apocalyptiques. Il raconte l'histoire d'un monde déjà terminé et de ses habitants qui luttent pour survivre."
"Ghostrunner";"27 oct. 2020";"39.99";"45161";"Action";"Slipgate Ironworks™";"505 Games";"https://store.steampowered.com/app/1139900/Ghostrunner/?snr=1_7_7_230_150_72";"Ghostrunner offre une expérience unique en solo : des combats violents et rapides, et un cadre original mêlant science-fiction à des thèmes post-apocalyptiques. Il raconte l'histoire d'un monde déjà terminé et de ses habitants qui luttent pour survivre."
"Ghostrunner";"27 oct. 2020";"39.99";"45161";"Action";"All in! Games";"505 Games";"https://store.steampowered.com/app/1139900/Ghostrunner/?snr=1_7_7_230_150_72";"Ghostrunner offre une expérience unique en solo : des combats violents et rapides, et un cadre original mêlant science-fiction à des thèmes post-apocalyptiques. Il raconte l'histoire d'un monde déjà terminé et de ses habitants qui luttent pour survivre."
"A Difficult Game About Climbing";"6 mars 2024";"12.99";"4698";"Action, Aventure";"Pontypants";"Pontypants";"https://store.steampowered.com/app/2497920/A_Difficult_Game_About_Climbing/?snr=1_7_7_230_150_72";"Ceci est un jeu difficile sur l'escalade."
"Slasher's Keep";"19 nov. 2020";"15.49";"2021";"Action, Indépendant, RPG";"Damian Schloter";"Damian Schloter";"https://store.steampowered.com/app/598060/Slashers_Keep/?snr=1_7_7_230_150_71";"Hack, slash, shoot and loot your way through procedurally generated dungeons! Smack your enemies into spikes with your inventory sack!"
"Pseudoregalia";"28 juil. 2023";"7.79";"14799";"Action, Aventure, Indépendant";"rittzler";"rittzler";"https://store.steampowered.com/app/2365810/Pseudoregalia/?snr=1_7_7_230_150_71";"Deep within the realm of sleep, Sybil finds herself pulled to a distorted castle. Grow strong, and unlock new abilities to build up a deep movement system, fight enemies, find secrets, and free the weary soul of Castle Sansa, in this retro-inspired 3D Platformer Metroidvania."
"Watch Dogs®: Legion";"26 janv. 2023";"79.99";"10424";"Action, Aventure";"Ubisoft Toronto";"Ubisoft";"https://store.steampowered.com/app/2239550/Watch_Dogs_Legion/?snr=1_7_7_230_150_71";"Dans Watch Dogs: Legion, formez la résistance pour reprendre le contrôle d'une Londres futuriste au bord de l'effondrement."
"artisanat magique Magicraft";"1 nov. 2024";"20.79";"12866";"Action, Aventure, Indépendant, RPG";"Wave Games";"bilibili";"https://store.steampowered.com/app/2103140/artisanat_magique_Magicraft/?snr=1_7_7_230_150_71";"""Magicraft"" is a Roguelike game that uses a variety of spells to match unimaginable spell effects, and the construction of ultra-high degrees of freedom cannot even be exhausted by developers."
"DRAMAtical Murder";"6 avr. 2021";"25.99";"3728";"Aventure";"Nitro+CHiRAL";"JAST";"https://store.steampowered.com/app/1481080/DRAMAtical_Murder/?snr=1_7_7_230_150_71";"Aoba's vibrant cyberpunk world is one of contrasts: high-tech virtual reality battles versus street gang turf wars, ultra-exclusive luxury resorts and tiny junk shops. The choices you make will shape the path of Aoba's journey into the dark secrets lurking beneath the glossy sheen of the city."
"FINAL FANTASY IV";"8 sept. 2021";"23.99";"2355";"RPG";"Square Enix";"Square Enix";"https://store.steampowered.com/app/1173800/FINAL_FANTASY_IV/?snr=1_7_7_230_150_71";"La version originale de FINAL FANTASY IV prend vie grâce à de tout nouveaux graphismes! Une version remodelée en 2D du quatrième opus de la célèbre franchise FINAL FANTASY! Explorez une histoire indémodable à travers de charmants graphismes rétro."
"Emberward";"25 juin 2024";"19.49";"3111";"Indépendant, Stratégie, Accès anticipé";"Refic Games";"Refic Games";"https://store.steampowered.com/app/2459550/Emberward/?snr=1_7_7_230_150_71";"Build twisting mazes with tetromino blocks and deploy unique towers in this engaging roguelite tower defense game!"
"La Chance du Locataire";"6 janv. 2023";"12.99";"9812";"Indépendant, Simulation, Stratégie";"TrampolineTales";"TrampolineTales";"https://store.steampowered.com/app/1404850/La_Chance_du_Locataire/?snr=1_7_7_230_150_71";"La Chance du Locataire est un roguelike de construction de deck où vous utilisez une machine à sous pour payer votre loyer et vaincre le capitalisme. Ce jeu ne contient aucune microtransaction ni pari impliquant de l’argent réel."
