"game_title";"release_date";"price";"total_reviews";"genre";"developper";"publisher";"link-href";"description"
"DG2: Defense Grid 2";"23 sept. 2014";"17.49";"2516";"Indépendant, Stratégie";"Hidden Path Entertainment";"Hidden Path Entertainment";"https://store.steampowered.com/app/221540/DG2_Defense_Grid_2/?snr=1_7_7_230_150_280";"Defense Grid 2 est la nouvelle évolution du tower defense. Les joueurs y découvriront des nouveautés qui nécessiteront une modification complète de leur stratégie de défense. Chaque niveau peut être résolu de 1 million de façons différentes. Votre solution est vraiment la vôtre."
"Hatoful Boyfriend";"4 sept. 2014";"10.99";"5474";"Occasionnel, Indépendant, Simulation";"Mediatonic";"Epic Games";"https://store.steampowered.com/app/310080/Hatoful_Boyfriend/?snr=1_7_7_230_150_280";"Congratulations! You’ve been accepted as the only human student at the prestigious St. PigeoNation’s Institute, a school for talented birds! Roam the halls and find love in between classes as a sophomore student at the world’s greatest pigeon high school."
"Hatoful Boyfriend";"4 sept. 2014";"10.99";"5474";"Occasionnel, Indépendant, Simulation";"Hato Moa";"Epic Games";"https://store.steampowered.com/app/310080/Hatoful_Boyfriend/?snr=1_7_7_230_150_280";"Congratulations! You’ve been accepted as the only human student at the prestigious St. PigeoNation’s Institute, a school for talented birds! Roam the halls and find love in between classes as a sophomore student at the world’s greatest pigeon high school."
"Hand of Fate";"17 févr. 2015";"19.99";"7942";"Action, Indépendant, RPG";"Defiant Development";"Defiant Development";"https://store.steampowered.com/app/266510/Hand_of_Fate/?snr=1_7_7_230_150_280";"La construction de deck prend vie dans Hand of Fate ! Une série de quêtes à rejouer à l'infini : gagnez de nouvelles cartes, construisez votre deck et essayez de gagner ! Piochez vos cartes, jouez votre main, et découvrez votre destin."
"Farming Simulator 2013 Titanium Edition";"9 oct. 2013";"17.49";"3861";"Occasionnel, Simulation";"Giants Software";"Giants Software";"https://store.steampowered.com/app/220260/Farming_Simulator_2013_Titanium_Edition/?snr=1_7_7_230_150_280";"Animal husbandry, crops, sales… It's up to you to manage and grow your own farm in a huge, totally new world!"
"Reassembly";"19 févr. 2015";"17.49";"3530";"Action, Indépendant, Stratégie";"Anisoptera Games";"Indie Voyage";"https://store.steampowered.com/app/329130/Reassembly/?snr=1_7_7_230_150_279";"Un jeu de construction de vaisseau spatial et d'exploration de l'univers. Collectez des ressources, développez et faites agrandir votre flotte, et partez à la conquête de votre galaxie personnelle. Une ambiance stellaire par Peaks."
"Patron";"10 aout 2021";"22.79";"2775";"Simulation, Stratégie";"Overseer Games";"Overseer Games";"https://store.steampowered.com/app/1538570/Patron/?snr=1_7_7_230_150_279";"Patron est un jeu de survie et de construction de ville doté d'un système unique de dynamique sociale. Rassemblez et produisez des ressources, transformez votre village émergent en une ville prospère et gérez les tensions sociales avant que ces dernières ne dégénèrent."
"Saiko no sutoka";"6 sept. 2020";"6.49";"3307";"Action, Aventure, Occasionnel, Simulation";"Habupain";"Habupain";"https://store.steampowered.com/app/1546860/Saiko_no_sutoka/?snr=1_7_7_230_150_278";"Saiko No Sutoka est un jeu de survie d’horreur où vous en tant que protagoniste, vous devez s’échapper et éviter la fille Yandere fou qui veut votre mort."
"Azur Lane Crosswave";"13 févr. 2020";"45.49";"6518";"Action, Aventure, RPG";"IDEA FACTORY";"Idea Factory International";"https://store.steampowered.com/app/1150080/Azur_Lane_Crosswave/?snr=1_7_7_230_150_278";"In the middle of each nation's normal training routine, a Joint Military Exercise was enacted. A select few from each nation were chosen to participate in this rigorous event. But, how did this event come to be? Are there other ulterior motives at play?"
"Azur Lane Crosswave";"13 févr. 2020";"45.49";"6518";"Action, Aventure, RPG";"COMPILE HEART";"Idea Factory International";"https://store.steampowered.com/app/1150080/Azur_Lane_Crosswave/?snr=1_7_7_230_150_278";"In the middle of each nation's normal training routine, a Joint Military Exercise was enacted. A select few from each nation were chosen to participate in this rigorous event. But, how did this event come to be? Are there other ulterior motives at play?"
"Azur Lane Crosswave";"13 févr. 2020";"45.49";"6518";"Action, Aventure, RPG";"FELISTELLA";"Idea Factory International";"https://store.steampowered.com/app/1150080/Azur_Lane_Crosswave/?snr=1_7_7_230_150_278";"In the middle of each nation's normal training routine, a Joint Military Exercise was enacted. A select few from each nation were chosen to participate in this rigorous event. But, how did this event come to be? Are there other ulterior motives at play?"
"Home Behind 2";"16 févr. 2022";"22.79";"6426";"Aventure, Indépendant, RPG, Simulation, Stratégie";"TPP Studio";"Spiral Up Games";"https://store.steampowered.com/app/1220010/Home_Behind_2/?snr=1_7_7_230_150_278";"Home Behind 2 is a Roguelike RPG which set in Scaria, a country engulfed in a ten-year civil war. Lead a patchwork group of revolutionary fighters into the depths of the government's territory as you struggle to overthrow a brutal authoritarian regime!"
"Ricochet";"1 nov. 2000";"6.49";"4389";"Action";"Valve";"Valve";"https://store.steampowered.com/app/60/Ricochet/?snr=1_7_7_230_150_277";"Jeu d'action futuriste faisant appel à votre agilité et votre détermination, Ricochet se compose d'un mode duel ou équipe et offre toute une variété d'arènes de combat futuristes."
"Kind Words (lo fi chill beats to write to)";"12 sept. 2019";"6.49";"7462";"Occasionnel, Indépendant";"Popcannibal";"Popcannibal";"https://store.steampowered.com/app/1070710/Kind_Words_lo_fi_chill_beats_to_write_to/?snr=1_7_7_230_150_277";"A game about writing nice letters to real people. Write and receive encouraging letters in a cozy room. Trade stickers and listen to chill music. We're all in this together. Sometimes all you need are a few kind words."
"Monster Boy et le Royaume Maudit";"25 juil. 2019";"38.99";"2341";"Action, Aventure, Indépendant";"Game Atelier";"FDG Entertainment";"https://store.steampowered.com/app/449610/Monster_Boy_et_le_Royaume_Maudit/?snr=1_7_7_230_150_277";"La série légendaire revient avec une nouvelle grande aventure! Plongez dans un jeu d'action-aventure coloré créé en collaboration avec Ryuichi Nishizawa, le créateur originel de la série Wonder Boy in Monster World."
"Team Sonic Racing™";"21 mai 2019";"53.49";"2705";"Course automobile";"Sumo Digital";"SEGA";"https://store.steampowered.com/app/785260/Team_Sonic_Racing/?snr=1_7_7_230_150_275";"Team Sonic Racing combine les meilleurs éléments des jeux d'arcade avec des courses trépidantes et effrénées où tu affronteras tes amis lors d'événements multijoueur."
"Sword Art Online: Hollow Realization Deluxe Edition";"27 oct. 2017";"54.99";"5692";"Action, Aventure, Occasionnel, RPG";"AQURIA";"BANDAI NAMCO Entertainment";"https://store.steampowered.com/app/607890/Sword_Art_Online_Hollow_Realization_Deluxe_Edition/?snr=1_7_7_230_150_275";"2026. Sword Art : Origin, un nouveau VRMMORPG, a émergé. Kirito rencontre un PNJ mystérieux et reçoit un message codé. Ce jeu est bien différent de celui dont il s'est échappé des années auparavant..."
"IMSCARED";"31 janv. 2016";"4.49";"2989";"Action, Aventure, Indépendant";"Ivan Zanotti's MyMadnessWorks";"Ivan Zanotti's MyMadnessWorks";"https://store.steampowered.com/app/429720/IMSCARED/?snr=1_7_7_230_150_275";"""I need a Heart in order to open it"""
"Oddworld: Abe's Oddysee®";"12 déc. 1997";"3.29";"2134";"Aventure";"Oddworld Inhabitants";"Oddworld Inhabitants";"https://store.steampowered.com/app/15700/Oddworld_Abes_Oddysee/?snr=1_7_7_230_150_275";"Désigné par le doigt de la destinée, Abe™, cireur de parquet première classe de l'entreprise RuptureFarms, se retrouva un beau jour au cœur d'une aventure singulière après avoir appris que son patron, Molluck le Glukkon™, avait pour plan de le transformer en chair à saucisse."
"Scanner Sombre";"26 avr. 2017";"8.99";"2955";"Aventure, Indépendant";"Introversion Software";"Introversion Software";"https://store.steampowered.com/app/475190/Scanner_Sombre/?snr=1_7_7_230_150_275";"Scanner Sombre est un jeu d’exploration en 3D où l’obscurité est votre plus grand ennemi. Utilisez votre scanner LIDAR pour révéler les profondeurs mystérieuses et dangereuses. Créé par les auteurs de Prison Architect, ce voyage immersif joue sur l’ombre et la lumière pour une expérience unique."
"HELLGATE: London";"15 nov. 2018";"14.49";"2145";"Action, RPG";"T3Entertainment";"HanbitSoft Inc.";"https://store.steampowered.com/app/939520/HELLGATE_London/?snr=1_7_7_230_150_274";"The return of a sensational game! Hellgate is an action RPG game you have been waiting for. Since its first release Hellgate won the hearts of thousands of fans and now it's time to bring back memories and dip into the near future of 2038. For all mankind!"
"Battlefleet Gothic: Armada";"21 avr. 2016";"19.99";"4966";"Stratégie";"Tindalos Interactive";"Focus Entertainment";"https://store.steampowered.com/app/363680/Battlefleet_Gothic_Armada/?snr=1_7_7_230_150_274";"Battlefleet Gothic : Armada est l’adaptation en jeu de stratégie en temps réel du célèbre jeu de plateau de Games Workshop, issu de l'univers de Warhammer 40,000 et mettant face à face les flottes du Chaos, de l’Imperium, des Eldars et des Orks dans des batailles spatiales viscérales."
"Paper Dolls: Original / 纸人";"19 avr. 2019";"19.49";"4193";"Action, Aventure, Indépendant";"Beijing Litchi Culture Media Co.";"Beijing Litchi Culture Media Co., Ltd.";"https://store.steampowered.com/app/1051310/Paper_Dolls_Original/?snr=1_7_7_230_150_273";"Paper Dolls Original est un jeu d’aventure horrifique à la première personne établi dans la culture Asiatique. Vous incarnez un homme séparé de sa fille lors d’un accident de voiture. Lorsqu’il se réveille, il se retrouve dans un manoir abandonné."
"Paper Dolls: Original / 纸人";"19 avr. 2019";"19.49";"4193";"Action, Aventure, Indépendant";"Ltd.";"Beijing Litchi Culture Media Co., Ltd.";"https://store.steampowered.com/app/1051310/Paper_Dolls_Original/?snr=1_7_7_230_150_273";"Paper Dolls Original est un jeu d’aventure horrifique à la première personne établi dans la culture Asiatique. Vous incarnez un homme séparé de sa fille lors d’un accident de voiture. Lorsqu’il se réveille, il se retrouve dans un manoir abandonné."
"Momodora: Reverie Under The Moonlight";"4 mars 2016";"10.99";"9944";"Action, Aventure, Indépendant";"Bombservice";"PLAYISM";"https://store.steampowered.com/app/428550/Momodora_Reverie_Under_The_Moonlight/?snr=1_7_7_230_150_273";"Reverie Under the Moonlight est le quatrième opus dans la série populaire de jeux de plate-formes en 2D Momodora. Faites usage des combos et de l'agilité de Kaho pour vous frayer un chemin dans une contrée maudite, prendre audience auprès de la Reine, et dissiper le mal qui menace l'humanité."
"Robot Roller-Derby Disco Dodgeball";"19 févr. 2015";"10.99";"2245";"Action, Indépendant, Sport";"Erik Asmussen";"Erik Asmussen";"https://store.steampowered.com/app/270450/Robot_RollerDerby_Disco_Dodgeball/?snr=1_7_7_230_150_272";"A futuresport FPS where you race around a skate park / dance club and nail each other with dodgeball trick shots. Singleplayer + Local Multiplayer + Online Multiplayer with 27 different objective-based game modes...or create your own!"
"Ghost Exorcism INC.";"15 juil. 2021";"15.49";"4243";"Action, Indépendant, Simulation, Accès anticipé";"StudioGoupil";"StudioGoupil";"https://store.steampowered.com/app/1618540/Ghost_Exorcism_INC/?snr=1_7_7_230_150_272";"Ghost Exorcism Inc est un jeu d’horreur effrayant se jouant seul ou en équipe de 6 exorcistes. Ils auront pour mission d’identifier des entités paranormales pour ensuite les exorciser."
"奇怪的RPG";"1 oct. 2022";"12.49";"3916";"Action, Aventure, RPG";"yuzhen";"INDIECN";"https://store.steampowered.com/app/1902710/RPG/?snr=1_7_7_230_150_272";"""Weird RPG"" is a highly difficult and fast-paced action RPG game focusing on boss battle,"
"Tales of the Neon Sea";"30 avr. 2019";"21.99";"3306";"Aventure, Indépendant";"YiTi Games";"Thermite Games";"https://store.steampowered.com/app/828740/Tales_of_the_Neon_Sea/?snr=1_7_7_230_150_271";"Au cours de la partie, le joueur va devoir explorer des scènes de crime, analyser des indices, mener des interrogatoires et beaucoup d'autres choses encore pour résoudre des énigme et dévoiler des affaires. Serez-vous capable de mettre au jour la vérité derrière les apparences, ou bien serez-vous emporté par les évènements ?"
"Primordia";"5 déc. 2012";"10.99";"2883";"Aventure, Indépendant";"Wormwood Studios";"Wadjet Eye Games";"https://store.steampowered.com/app/227000/Primordia/?snr=1_7_7_230_150_270";"Life has ceased. Man is but a myth. And now, even the machines have begun to fail. Lead Horatio Nullbuilt and his sarcastic sidekick Crispin on a journey through the crumbling world of Primordia, facing malfunctioning robots, ancient secrets, and an implacable, power-hungry foe."
"Retrowave";"6 mai 2022";"3.99";"13631";"Action, Occasionnel, Indépendant, Course automobile, Simulation";"RewindApp";"RewindApp";"https://store.steampowered.com/app/1239690/Retrowave/?snr=1_7_7_230_150_270";"Des néons, des palmiers, de la synthwave, des supercars des années 80 fonçant à toute vitesse sur une autoroute sans fin... Bienvenue dans le monde de la Retrowave !"
"Monstrum";"20 mai 2015";"19.99";"2974";"Indépendant";"Team Junkfish";"Junkfish Limited";"https://store.steampowered.com/app/296710/Monstrum/?snr=1_7_7_230_150_269";"Monstrum utilise la formule traditionnelle du genre ""Survival Horror"" et la remixe complètement avec des niveaux générés de manière procédurale, des permadeaths et des prédateurs dirigés par l'IA, garantissant que nul endroit de ce cargo abandonné n'est jamais vraiment sûr."
"Sid Meier's Railroads!";"16 oct. 2006";"10.99";"2495";"Stratégie";"Firaxis Games";"2K";"https://store.steampowered.com/app/7600/Sid_Meiers_Railroads/?snr=1_7_7_230_150_269";"Sid Meier's Railroads! marque le retour du titre phare de la série des ""tycoon"" qui a inspiré de nombreux autres jeux.Sid Meier's Railroads! nous revient. Avec lui : destination le plaisir du jeu."
"Sid Meier's Railroads!";"16 oct. 2006";"10.99";"2495";"Stratégie";"Feral Interactive (Mac)";"2K";"https://store.steampowered.com/app/7600/Sid_Meiers_Railroads/?snr=1_7_7_230_150_269";"Sid Meier's Railroads! marque le retour du titre phare de la série des ""tycoon"" qui a inspiré de nombreux autres jeux.Sid Meier's Railroads! nous revient. Avec lui : destination le plaisir du jeu."
"Gato Roboto";"30 mai 2019";"10.49";"3997";"Action, Aventure, Indépendant";"doinksoft";"Devolver Digital";"https://store.steampowered.com/app/916730/Gato_Roboto/?snr=1_7_7_230_150_269";"Sautez dans votre combinaison blindée et partez à l'aventure dans un monde extraterrestre souterrain rempli d'obstacles et de créatures plus agaçantes les unes que les autres pour sauver votre capitaine naufragé à bord de son vaisseau spatial"
"THE KING OF FIGHTERS '98 ULTIMATE MATCH FINAL EDITION";"16 déc. 2014";"16.99";"2383";"Action";"SNK CORPORATION";"SNK CORPORATION";"https://store.steampowered.com/app/222420/THE_KING_OF_FIGHTERS_98_ULTIMATE_MATCH_FINAL_EDITION/?snr=1_7_7_230_150_268";"After “KOF '98”, often praised by the fans as the best installment in the “KOF” series, and “KOF ’98 UM” 10 years later, “KOF ’98” returns now on the Steam PC gaming platform in an ultimate and final version with THE KING OF FIGHTERS ’98 ULTIMATE MATCH FINAL EDITION"
"THE KING OF FIGHTERS '98 ULTIMATE MATCH FINAL EDITION";"16 déc. 2014";"16.99";"2383";"Action";"Code Mystics";"SNK CORPORATION";"https://store.steampowered.com/app/222420/THE_KING_OF_FIGHTERS_98_ULTIMATE_MATCH_FINAL_EDITION/?snr=1_7_7_230_150_268";"After “KOF '98”, often praised by the fans as the best installment in the “KOF” series, and “KOF ’98 UM” 10 years later, “KOF ’98” returns now on the Steam PC gaming platform in an ultimate and final version with THE KING OF FIGHTERS ’98 ULTIMATE MATCH FINAL EDITION"
"Summer of '58";"21 juil. 2021";"10.29";"4300";"Indépendant, Simulation";"EMIKA_GAMES";"EMIKA_GAMES";"https://store.steampowered.com/app/1609080/Summer_of_58/?snr=1_7_7_230_150_268";"In the summer of 2008. The main character, at the request of followers, goes to Russia to explore the abandoned camp ""Yunost"". Locals say that this place is inhabited by restless souls. This will need to be checked."
"Hentai Vs Furries";"10 janv. 2020";"1.29";"2780";"Action, Aventure, Occasionnel, Indépendant";"SeedWall";"SeedWall";"https://store.steampowered.com/app/1208260/Hentai_Vs_Furries/?snr=1_7_7_230_150_267";"Hentai VS Furries offre des gunshot haut en couleurs. Des skins, des angles spéciaux pour votre plus grand plaisir. Et un ""Pleasure"" mode sans combat si vous voulez en profitez au calme."
"Guacamelee! Super Turbo Championship Edition";"21 aout 2014";"19.49";"2477";"Action, Aventure, Indépendant";"Drinkbox Studios";"Drinkbox Studios";"https://store.steampowered.com/app/275390/Guacamelee_Super_Turbo_Championship_Edition/?snr=1_7_7_230_150_267";"Guacamelee! Super Turbo Championship Edition est la version ultime du jeu à succès d'action-plateforme dans la lignée des Metroidvania. L'aventure originale, inspirée du folklore mexicain, était intense et cocasse. Découvrez vite les nouveautés : niveaux, pouvoirs, défis et autres améliorations."
"Recettear: An Item Shop's Tale";"10 sept. 2010";"21.99";"6516";"RPG, Indépendant";"EasyGameStation";"Carpe Fulgur LLC";"https://store.steampowered.com/app/70400/Recettear_An_Item_Shops_Tale/?snr=1_7_7_230_150_267";"Recettear c'est l'histoire d'une boutique, de la fille qui y habite et de la fée qui va tout chambouler. Recette Lemongrass va se retrouver à la tête d'une boutique pour laquelle il va falloir payer les traites. Tear est votre fée et vous accompagnera."
"Gunpoint";"3 juin 2013";"10.99";"10140";"Action, Indépendant, Stratégie";"Suspicious Developments";"Suspicious Developments";"https://store.steampowered.com/app/206190/Gunpoint/?snr=1_7_7_230_150_267";"Gunpoint is a stealth puzzle game that lets you rewire its levels to trick people. You play a freelance spy who takes jobs from his clients to break into high security buildings and steal sensitive data."
"圣女战旗 Banner of the Maid";"28 mai 2019";"22.79";"6270";"Indépendant, RPG, Stratégie";"Azure Flame Studio";"2P Games";"https://store.steampowered.com/app/994730/_Banner_of_the_Maid/?snr=1_7_7_230_150_267";"Banner of the Maid is a mix of turn-based strategy and JRPG. Set in an alternate French Revolution with fantasy elements. As the young officer Pauline Bonaparte you will have to lead your troops to battle and play a role in the political vortex of Paris."
"NEKOPARA Vol. 0";"17 aout 2015";"3.89";"14505";"Occasionnel, Indépendant";"NEKO WORKs";"Sekai Project";"https://store.steampowered.com/app/385800/NEKOPARA_Vol_0/?snr=1_7_7_230_150_266";"Please note that NEKOPARA Vol. 0 is a fandisc for NEKOPARA Vol. 1What's NEKOPARA? Why, it's a cat paradise! This is a story just before Kashou opened ""La Soleil"".Enjoy a page from the leisurely, daily lives of Shigure and the Minaduki household's catgirls!"
"Gothic® 3";"13 oct. 2006";"19.99";"8519";"Action, RPG";"Piranha Bytes";"THQ Nordic";"https://store.steampowered.com/app/39500/Gothic_3/?snr=1_7_7_230_150_266";"Un héros sans nom devient une légende! Myrtana, un monde soudainement déchiré: rempli d'orcs venus des terres sombres du nord, le roi Rhobar défend Vengard, l'ancienne bastion humaine, avec la dernière troupe d'adeptes."
"Puyo Puyo™Tetris®";"27 févr. 2018";"24.99";"4656";"Action, Occasionnel";"Sonic Team";"SEGA";"https://store.steampowered.com/app/546050/Puyo_PuyoTetris/?snr=1_7_7_230_150_266";"Deux incontournables des jeux de puzzle se rencontrent avec cette fusion du phénomène mondial Tetris® et du célèbre Puyo Puyo™ de SEGA, qui aboutit à un super mix alliant compétition féroce, designs attrayants et tout le fun addictif des puzzles !"
"Puyo Puyo™Tetris®";"27 févr. 2018";"24.99";"4656";"Action, Occasionnel";"Bitbaboon";"SEGA";"https://store.steampowered.com/app/546050/Puyo_PuyoTetris/?snr=1_7_7_230_150_266";"Deux incontournables des jeux de puzzle se rencontrent avec cette fusion du phénomène mondial Tetris® et du célèbre Puyo Puyo™ de SEGA, qui aboutit à un super mix alliant compétition féroce, designs attrayants et tout le fun addictif des puzzles !"
"Epic Battle Fantasy 4";"25 févr. 2014";"15.99";"2687";"Aventure, RPG";"Matt Roszak";"Matt Roszak";"https://store.steampowered.com/app/265610/Epic_Battle_Fantasy_4/?snr=1_7_7_230_150_266";"A light-hearted turn-based RPG, heavily inspired by old 2D classics. You will battle through waves of cute enemies, grow your characters, explore a diverse world, solve puzzles, and of course, save the world. (Just updated to version 3!)"
"Sky Force Reloaded";"29 nov. 2017";"11.49";"2466";"Action, Indépendant";"Infinite Dreams";"Infinite Dreams";"https://store.steampowered.com/app/667600/Sky_Force_Reloaded/?snr=1_7_7_230_150_266";"Sky Force Reloaded, c'est l'expérience originale des shoot ‘em ups avec des graphismes à couper le souffle et une jouabilité améliorée. Éclatez-vous dans des décors magnifiques en faisant exploser des boss massifs, en solo ou en mode coopératif."
"Garten of Banban 3";"5 mai 2023";"6.99";"2530";"Action, Aventure, Occasionnel, Indépendant";"Euphoric Brothers";"Euphoric Brothers";"https://store.steampowered.com/app/2311190/Garten_of_Banban_3/?snr=1_7_7_230_150_266";"Découvrez les horreurs du jardin d'enfants de Banban. Plongez encore plus profondément dans les profondeurs de l'établissement qui a été laissé suspicieusement vide. Essayez de survivre aux résidents inattendus et poursuivez la recherche de votre enfant..."
"RiME";"26 mai 2017";"39.99";"3206";"Aventure";"Tequila Works";"Grey Box";"https://store.steampowered.com/app/493200/RiME/?snr=1_7_7_230_150_265";"Une contrée de découvertes s'offre à vous. Explorez le monde magnifique mais dangereux de RiME. Grâce à votre sagacité et à votre instinct de survie, vous explorerez cette île énigmatique jusqu'à atteindre le sommet de la tour pour en percer les secrets les mieux gardés."
"RiME";"26 mai 2017";"39.99";"3206";"Aventure";"QLOC";"Grey Box";"https://store.steampowered.com/app/493200/RiME/?snr=1_7_7_230_150_265";"Une contrée de découvertes s'offre à vous. Explorez le monde magnifique mais dangereux de RiME. Grâce à votre sagacité et à votre instinct de survie, vous explorerez cette île énigmatique jusqu'à atteindre le sommet de la tour pour en percer les secrets les mieux gardés."
"STAR WARS™ Dark Forces (Classic, 1995)";"15 févr. 1995";"7.79";"2337";"Action";"LucasArts";"LucasArts";"https://store.steampowered.com/app/32400/STAR_WARS_Dark_Forces_Classic_1995/?snr=1_7_7_230_150_265";"Behind a veil of secrecy the evil Empire is creating a doomsday army - one that, if finished, will become the final cog in the Empire's arsenal of terror and domination. Your Mission? Join the Rebel Alliance's covert operations division, infiltrate the Empire."
"Asterigos: Curse of the Stars";"11 oct. 2022";"39.99";"2359";"Action, Aventure, RPG";"Acme Gamestudio";"tinyBuild";"https://store.steampowered.com/app/1731070/Asterigos_Curse_of_the_Stars/?snr=1_7_7_230_150_265";"Embarquez pour un voyage périlleux dans ce RPG d'action, inspiré des mythologies grecque et romaine. Explorez l'époustouflante ville d'Aphes et forgez votre chemin à travers des légions d'ennemis uniques et de boss mythiques pour découvrir l'origine de la malédiction qui frappe la ville."
"The Cave";"23 janv. 2013";"16.99";"2391";"Aventure";"Double Fine Productions";"Double Fine Productions";"https://store.steampowered.com/app/221810/The_Cave/?snr=1_7_7_230_150_265";"Formez votre équipe en choisissant trois des sept aventuriers loufoques, puis descendez dans les profondeurs mystérieuses pour explorer The Cave !"
"Immortal Redneck";"25 avr. 2017";"21.99";"2136";"Action, Indépendant";"Crema";"Crema";"https://store.steampowered.com/app/595140/Immortal_Redneck/?snr=1_7_7_230_150_265";"Immortel Redneck est un FPS avec des éléments de rogue-lite qui prend place en Égypte. Gameplay frénétique, contrôles rapides et expérience arcade alliés à des donjons procéduraux, 9 classes aux caractéristiques différentes, un arbre de compétences complet et la mort permanente."
"Nine Parchments";"5 déc. 2017";"22.79";"3929";"Action, RPG";"Frozenbyte";"Frozenbyte";"https://store.steampowered.com/app/471550/Nine_Parchments/?snr=1_7_7_230_150_264";"Nine Parchments est un jeu d'action et de magie en coopération développé par Frozenbyte, les créateurs de la série Trine !"
"Starpoint Gemini Warlords";"23 mai 2017";"38.69";"3041";"Action, RPG, Simulation, Stratégie";"Little Green Men Games";"Little Green Men Games";"https://store.steampowered.com/app/419480/Starpoint_Gemini_Warlords/?snr=1_7_7_230_150_264";"La stratégie sur les lignes de front ! Starpoint Gemini Warlords combine combats de vaisseaux spatiaux capitaux en vue à la 3e personne, stratégie 4X et éléments de jouabilité RPG. Construisez de puissantes flottes de guerre, et envoyez-les au combat ou dirigez-les vous-même."
"Garten of Banban 2";"3 mars 2023";"6.99";"3707";"Action, Aventure, Occasionnel, Indépendant";"Euphoric Brothers";"Euphoric Brothers";"https://store.steampowered.com/app/2262770/Garten_of_Banban_2/?snr=1_7_7_230_150_264";"Continue the story of Banban’s Kindergarten. Delve deeper into the bizarre establishment where the place was left suspiciously empty. Try to survive the unexpected residents, all while uncovering the truth behind the place…"
"Hidden Deep";"24 janv. 2022";"29.99";"3892";"Action, Aventure, Indépendant, Accès anticipé";"Cogwheel Software";"Daedalic Entertainment";"https://store.steampowered.com/app/976890/Hidden_Deep/?snr=1_7_7_230_150_264";"Hidden Deep est un jeu de science-fiction d'action inspiré par Aliens, The Thing et Half-Life. Explorez, grimpez, nagez, scannez et tirez pour accomplir des missions dangereuses dans un immense complexe minier sous-marin. L'horreur se cache sous la surface..."
"Ratropolis";"22 déc. 2020";"20.49";"5083";"Occasionnel, Indépendant, Simulation, Stratégie";"Cassel Games";"Cassel Games";"https://store.steampowered.com/app/1108370/Ratropolis/?snr=1_7_7_230_150_264";"Une fusion de roguelite, de tower defense, de construction de villes et de deck-building! Nous avons créé un nouveau type de jeu de stratégie en temps réel avec un gameplay addictif et rapide. Créez votre deck, défendez votre ville et construisez la plus grande Ratropolis de l'histoire!"
"Boneraiser Minions";"9 mars 2023";"6.49";"4803";"Action, Occasionnel, Indépendant, RPG";"caiys";"caiysware";"https://store.steampowered.com/app/1944570/Boneraiser_Minions/?snr=1_7_7_230_150_264";"Amass an army of undead to fight endless waves of heroes intent to end your boneraising ways! In this gothic auto-battler rogue-lite Survivor-like, use the bones of slain heroes to raise your minions, collect relics and spells, and unlock meta upgrades, all to survive King Gigald's crusade!"
"Shady Part of Me";"10 déc. 2020";"19.99";"2125";"Indépendant";"Douze Dixièmes";"Focus Entertainment";"https://store.steampowered.com/app/1116580/Shady_Part_of_Me/?snr=1_7_7_230_150_264";"Surmontez vos plus profondes émotions lors d’un voyage initiatique et poignant. Embarquez dans une fable émotionnelle et poétique à la direction artistique unique, sublimée par la voix envoûtante d’Hannah Murray (Game of Thrones, Skins)."
"Transport Fever";"8 nov. 2016";"38.99";"9197";"Simulation";"Urban Games";"Good Shepherd Entertainment";"https://store.steampowered.com/app/446800/Transport_Fever/?snr=1_7_7_230_150_263";"Transport Fever est un jeu de simulation centré sur la construction de réseaux de chemins de fer. Les joueurs commencent en 1850 et tâchent de bâtir une société de transport florissante. Dirigeant d’une entreprise de transport, le joueur construit des gares, des aéroports, des ports et gagne de l’argent en desservant des zones où la..."
"Battle Chasers: Nightwar";"3 oct. 2017";"32.99";"5461";"Indépendant, RPG";"Airship Syndicate";"THQ Nordic";"https://store.steampowered.com/app/451020/Battle_Chasers_Nightwar/?snr=1_7_7_230_150_263";"Battle Chasers: Nightwar est un RPG inspiré des classiques de console et des BD des années 1990. Plongez dans les donjons et les combats au tour à tour façon JRPG pour découvrir toute la richesse de ce monde et de son histoire."
"Full Metal Furies";"17 janv. 2018";"25.99";"2049";"Action, Aventure, Indépendant, RPG";"Cellar Door Games";"Cellar Door Games";"https://store.steampowered.com/app/416600/Full_Metal_Furies/?snr=1_7_7_230_150_263";"Les créateurs de Rogue Legacy ont concocté un RPG d'action « vraiment coopératif ». FULL METAL FURIES met l'accent sur le jeu en équipe grâce à un système de combat unique : chaque joueur est décisif. Jouez sur votre canapé, seul ou avec des amis, ou en groupe allant jusqu'à 4 joueurs en ligne !"
"Capcom Arcade Stadium";"24 mai 2021";"79.99";"4520";"Action, Free-to-play";"CAPCOM Co.";"CAPCOM Co., Ltd.";"https://store.steampowered.com/app/1515950/Capcom_Arcade_Stadium/?snr=1_7_7_230_150_263";"Redécouvrez les titres cultes de Capcom ! 1943 -The Battle of Midway Logo Wallpaper est offert gratuitement en téléchargement !"
"Capcom Arcade Stadium";"24 mai 2021";"79.99";"4520";"Action, Free-to-play";"Ltd.";"CAPCOM Co., Ltd.";"https://store.steampowered.com/app/1515950/Capcom_Arcade_Stadium/?snr=1_7_7_230_150_263";"Redécouvrez les titres cultes de Capcom ! 1943 -The Battle of Midway Logo Wallpaper est offert gratuitement en téléchargement !"
